No,Constituency,District,State,lat,long,Classifier,Population,Tire
1,Ariyalur,Ariyalur,Tamil Nadu,11.07603595,79.11745538,TP,27822,4
2,Jayankondam,Ariyalur,Tamil Nadu,11.21412214,79.36216337,TP,31268,4
3,Chengalpattu,Chengalpattu,Tamil Nadu,12.6840886,79.9836371,M,62582,2
4,Cheyyur,Chengalpattu,Tamil Nadu,12.3817023,79.84535682,,0,4
5,Pallavaram,Chengalpattu,Tamil Nadu,12.9898157,80.10098654,,0,4
6,Tambaram,Chengalpattu,Tamil Nadu,12.9299028,80.1118231,,0,4
7,Thiruporur,Chengalpattu,Tamil Nadu,12.6754543,80.003164,TP,8299,4
8,Anna Nagar,Chennai,Tamil Nadu,13.0872004,80.2164421,,0,4
9,Chepauk,Chennai,Tamil Nadu,13.06363,80.2812779,,0,4
10,Dr.Radhakrishnan Nagar,Chennai,Tamil Nadu,12.994345,80.2586907,,0,4
11,Egmore,Chennai,Tamil Nadu,13.0728321,80.2576906,,0,4
12,Harbour,Chennai,Tamil Nadu,13.08685129,80.29298645,,0,4
13,Kolathur,Chennai,Tamil Nadu,13.1241127,80.2046276,TP,10254,4
14,Mylapore,Chennai,Tamil Nadu,13.0316504,80.270099,,0,4
15,peranamallur,Chennai,Tamil Nadu,13.1121242,80.245022,TP,5557,4
16,Royapuram,Chennai,Tamil Nadu,13.1042898,80.29361253,,0,4
17,Saidapet,Chennai,Tamil Nadu,13.020817,80.2239536,,0,4
18,Thiru-Vi-Ka-Nagar,Chennai,Tamil Nadu,13.10847205,80.24814438,,0,4
19,Thiyagarayanagar,Chennai,Tamil Nadu,13.04117222,80.23590722,,0,4
20,Thousand Lights,Chennai,Tamil Nadu,13.0585155,80.2587833,,0,4
21,Velachery,Chennai,Tamil Nadu,12.98016545,80.22285056,,0,4
22,vilapakkam,Chennai,Tamil Nadu,13.1125875,80.2081378,TP,8052,4
23,Virugambakkam,Chennai,Tamil Nadu,13.0475434,80.1922181,,0,4
24,Shozhinganallur,Chennai,Tamil Nadu,13.0466496,80.1926004,,0,4
25,Coimbatore North,Coimbatore,Tamil Nadu,11.15785585,76.96997866,UA,1461139,1
26,Coimbatore South,Coimbatore,Tamil Nadu,10.9332703,76.86390503,,0,4
27,Kavundampalayam,Coimbatore,Tamil Nadu,11.0451312,76.9474498,,0,4
28,Kinathukadavu,Coimbatore,Tamil Nadu,10.8284322,77.0254459,TP,8651,4
29,Mettuppalayam,Coimbatore,Tamil Nadu,11.2944013,76.94053891,M,66595,2
30,Pollachi,Coimbatore,Tamil Nadu,10.67047305,77.00991259,UA,128458,1
31,Singanallur,Coimbatore,Tamil Nadu,11.0028585,77.0234948,,0,4
32,Sulur,Coimbatore,Tamil Nadu,10.98905365,77.10149711,,0,4
33,Thondamuthur,Coimbatore,Tamil Nadu,11.01091,76.8726097,TP,9340,4
34,Valparai,Coimbatore,Tamil Nadu,10.39017065,76.95120218,TP,95107,2
